year,happiness,log_gdp_per_capita,social_support,life_expectancy,freedom_choices,generosity,corruption,positive_affect,negative_affect,ID
2016,5.177899361,9.79161644,0.926551104,65.32499695,0.658228815,-0.131470308,0.664055169,0.502697408,0.182106122,171
2017,5.552915096,9.817715645,0.900255799,65.55000305,0.620979249,-0.127593905,0.654113412,0.501735687,0.232768074,172
2005,7.262290478,10.74380779,0.934874713,68.40000153,0.923843026,0.18540490026000003,0.597554445,0.676885664,0.26037994,175
2007,7.218839645,10.79118156,0.921602786,68.72000122,0.900870383,0.063508436,0.721093476,0.743583977,0.217604309,176
2008,7.116590977,10.78774071,0.92297703,68.87999725,0.887026727,0.000982332,0.651800513,0.709397256,0.241797924,177
2010,6.853514194,10.77838421,0.930570185,69.19999695,0.806930244,0.016307479,0.697365582,0.793344319,0.240364328,178
2011,7.111363888,10.78217793,0.936955452,69.36000061,0.880153596,-0.020142276,0.711043894,0.752021194,0.225056365,179
2012,6.935122013,10.78334141,0.92711705,69.51999664,0.855266631,-0.056060374,0.757572532,0.718186975,0.238276809,180
2013,7.10366106,10.7832098,0.909186184,69.68000031,0.890711069,0.010700807,0.573664308,0.738157332,0.217138946,181
2014,6.855329037,10.79443264,0.943549156,69.83999634,0.86095351,-0.004647197,0.511975765,0.743678153,0.251557052,182
2015,6.904219151,10.80884647,0.885208845,70.0,0.869474947,0.056212045,0.46878463,0.747103333,0.239958704,183
2016,6.948936462,10.81637096,0.928964078,70.15000153,0.865759015,-0.06168225,0.4966591,0.701093376,0.259653389,184
2017,6.928347588,10.82858467,0.921639085,70.30000305,0.856801987,0.048653286,0.543046057,0.713402271,0.233597696,185
2007,6.450644493,9.191672325,0.87226665,64.30000305,0.705305934,0.005843545,0.768984437,0.731540143,0.250595719,192
2014,5.955646515,9.135219574,0.756932497,65.0,0.873569071,-0.001536045,0.782105386,0.735027134,0.281604409,193
2006,3.329801559,7.843532562,0.444781214,51.95999908,0.580069304,-0.014729296,0.789862454,0.520846486,0.30910027,194
2008,3.66713953,7.891244411,0.382373512,52.47999954,0.709476948,-0.007773304,0.825245738,0.5739097,0.302546173,195
2011,3.870279551,7.876235485,0.477494389,53.25999832,0.772918761,-0.145410895,0.849472225,0.57443893,0.21867846,196
2012,3.193468809,7.894076347,0.523027301,53.52000046,0.768971086,-0.114408366,0.805977643,0.563014567,0.230664536,197
2013,3.479412794,7.934523106,0.576823056,53.77999878,0.783240497,-0.087806888,0.855955541,0.645733833,0.216339186,198
2014,3.347419262,7.966898441,0.506091297,54.04000092,0.775545776,-0.098641723,0.854826927,0.558378994,0.273385257,199
2015,3.624664307,7.955011368,0.434388518,54.29999924,0.733383596,-0.029444881,0.850098193,0.554649472,0.373396546,200
2016,4.007357597,7.95836401,0.492815852,54.59999847,0.779795229,-0.067745596,0.837715745,0.578206301,0.455767602,201
2017,4.853180885,7.984066486,0.435878992,54.90000153,0.72680825,-0.067527711,0.767234623,0.59782958,0.457920343,202
2013,5.569091797,9.097064972,0.818948984,62.24000168,0.810201466,0.348954111,0.802428126,0.663675606,0.217349902,209
2014,4.938578129,9.143029213,0.880341947,62.41999817,0.834222496,0.264028728,0.650338471,0.77463913,0.324097872,210
2015,5.082128525,9.197989464,0.847574413,62.59999847,0.83010155,0.273348331,0.633955777,0.723232627,0.311589301,211
2006,5.373986244,8.670664787,0.834279954,60.90000153,0.770134747,-0.048466709,0.794484198,0.708094001,0.431944966,212
2007,5.628419399,8.697794914,0.796136498,61.09999847,0.779935241,-0.003597249,0.816993952,0.74573493,0.387786239,213
2008,5.297872543,8.74016571,0.785262346,61.29999924,0.725619733,-0.095963754,0.801420391,0.723477721,0.392079622,214
2009,6.085579395,8.756053925,0.831319928,61.5,0.778938591,-0.040326852,0.762604535,0.742098808,0.372369289,215
2010,5.780620098,8.779529572,0.80718559,61.70000076,0.703341067,-0.072667733,0.781342506,0.720217526,0.349597335,216
2011,5.778874397,8.813483238,0.816782832,61.90000153,0.781673729,-0.04337417,0.824854314,0.688715518,0.361485541,217
2012,6.018894672,8.84689045,0.780819416,62.09999847,0.86237967,-0.019001685,0.839701414,0.699352384,0.408880144,218
2013,5.767428875,8.896345139,0.80273807,62.29999924,0.845931649,-0.070954867,0.811856568,0.721060872,0.410301536,219
2014,5.864798546,8.933479309,0.821344614,62.5,0.881058872,0.013756881,0.831854463,0.76901108,0.398219466,220
2015,5.834329128,8.965176582,0.828705788,62.70000076,0.88362509,-0.033569381,0.862373948,0.748659253,0.392902851,221
2016,5.769723415,8.991458893,0.795958757,62.84999847,0.881748736,-0.050763894,0.852592945,0.735729158,0.376412243,222
2017,5.65055275,9.017354012,0.778661788,63.0,0.883904934,-0.124353066,0.819261968,0.655216575,0.43394354,223
2007,4.899806976,9.190536499,0.76560384,67.0,0.341565669,0.005883091,0.92612499,0.570178032,0.296465814,230
2009,4.963477135,9.246046066,0.735232174,67.0,0.257533818,-0.027483663,0.958739877,0.506855667,0.390204102,231
2010,4.66851759,9.272006035,0.772753716,67.0,0.364966899,-0.130517364,0.933030069,0.46450606,0.409213185,232
2011,4.994670868,9.299545288,0.725242853,67.0,0.333312094,-0.037751582,0.924784362,0.551055074,0.325734705,233
2012,4.773144722,9.309835434,0.778859854,67.0,0.419789314,-0.015885832,0.95342195,0.468601346,0.338240683,234
2013,5.123664379,9.34864521,0.766827762,67.0,0.39034158,0.038655978,0.969836235,0.489300579,0.314516038,235
2014,5.248954296,9.373052597,0.787651718,67.0,0.411937386,0.228936791,0.976339638,0.490834683,0.262175202,236
2015,5.117177963,9.428470612,0.655723631,67.0,0.630698025,-0.058186617,0.959853649,0.485843688,0.28623414,237
2016,5.180865288,9.472752571,0.807705104,67.05000305,0.633453727,0.130190253,0.957311988,0.565980375,0.304080278,238
2017,5.089902401,9.516513824,0.775295258,67.09999847,0.563798666,0.087202974,0.923343062,0.52663964,0.270745516,239
2006,4.739367008,9.494558334,0.883035779,48.84000015,0.823774636,-0.200533777,0.723239183,0.642786026,0.225759342,246
2008,5.451147079,9.542919159,0.831905305,49.72000122,0.857776403,-0.166702151,0.806226492,0.676590025,0.217885971,247
2010,3.553020239,9.445678711,0.865624785,50.59999847,0.82621938,-0.140634984,0.813985407,0.616944194,0.172184274,248
2011,3.519921064,9.491771698,0.860028088,51.04000092,0.812514067,-0.247899964,0.816158473,0.647245646,0.159782797,249
2012,4.835938931,9.470852852,0.836743116,51.47999954,0.799410224,-0.196959585,0.814422846,0.694941163,0.171257362,250
2013,4.128298759,9.557082176,0.855570793,51.91999817,0.767357409,-0.147624508,0.748847783,0.670878947,0.243771017,251
2014,4.031197071,9.593237877,0.859477818,52.36000061,0.791371226,-0.098926321,0.743073821,0.626258194,0.245051414,252
2015,3.761964798,9.523887634,0.815656066,52.79999924,0.857168913,-0.107627913,0.860292971,0.675721586,0.261428148,253
2016,3.498936653,9.573143005,0.768302798,53.07500076,0.851694882,-0.245928928,0.729171813,0.657055497,0.251836598,254
2017,3.504881144,9.592658043,0.768258631,53.34999847,0.817308009,-0.241930425,0.731441498,0.612189233,0.276252508,255
2005,6.636771202,9.4351511,0.882922947,63.09999847,0.882186115,-0.0019768154099999986,0.744994044,0.769921243,0.301779836,260
2007,6.320672989,9.511839867,0.886402428,63.41999817,0.776644826,-0.021670189,0.72803849,0.77485615,0.299222767,261
2008,6.691424847,9.551653862,0.878107548,63.58000183,0.781931102,-0.083113514,0.688272774,0.717656076,0.265485525,262
2009,7.000831604,9.540863991,0.912818074,63.74000168,0.766716063,-0.060707111,0.722514987,0.743982553,0.274103165,263
2010,6.837331295,9.604052544,0.905528128,63.90000153,0.805949271,-0.059442099,0.656036079,0.725931287,0.249881223,264
